id,lon,lat,distance_m,median_swh,nearest_dist_m,n_neighbors,Y,Z
6,26.95289,58.337086,52426.58,0.062,52705.93760276156,5,0.024320492,20565.16483028
7,27.028316,58.371658,44900.83,0.056,46932.1116977922,5,0.021966896,17613.06898078
8,27.103899,58.406178,36764.06,0.042,41159.960501699934,5,0.016475172,14421.290759959998
9,27.179636,58.440647,22007.56,0.093,35387.505470015065,5,0.036480738,8632.817530960001
10,27.255529,58.475067,57554.3,0.097,29615.590841263056,5,0.038049801999999994,22576.5950438
11,27.331581,58.509441,54592.53,0.117,23843.487731941546,5,0.045895122,21414.79337298
12,27.407787,58.543758,51441.0,0.083,18072.009714290794,5,0.032558078,20178.555306
13,27.484154,58.57803,47913.65,0.192,12302.401351382074,5,0.075315072,18794.895830899997
14,27.560675,58.612247,44190.13,0.192,6532.428055529262,5,0.075315072,17334.285534579998
15,27.637354,58.646416,40108.35,0.145,855.1935083174131,5,0.05687856999999999,15733.1420211
16,27.714191,58.680531,34988.15,0.125,5015.795175247669,5,0.04903325,13724.6616479
