azimuth_deg,distance_m,intersect_lon,intersect_lat,reason
0.0,54592.527,27.331581,58.999540,ok
10.0,56484.915,27.504396,59.008516,ok
20.0,58397.042,27.682860,59.000891,ok
30.0,48773.258,27.759198,58.886516,ok
40.0,39954.590,27.780165,58.781438,ok
50.0,33425.671,27.776933,58.699249,ok
60.0,30096.710,27.783091,58.641303,ok
70.0,29321.968,27.807175,58.596078,ok
80.0,30096.588,27.841535,58.552765,ok
90.0,30046.785,27.846974,58.505827,ok
100.0,26341.809,27.775244,58.465240,ok
110.0,23985.909,27.715874,58.433028,ok
120.0,23387.040,27.675721,58.401964,ok
130.0,25600.841,27.663523,58.359369,ok
140.0,29081.099,27.646725,58.307425,ok
150.0,25545.908,27.546181,58.309650,ok
160.0,16538.985,27.426352,58.369519,ok
170.0,13302.714,27.370204,58.391740,ok
180.0,12126.601,27.331581,58.400571,ok
190.0,11464.072,27.298296,58.408008,ok
200.0,12790.021,27.258289,58.401231,ok
210.0,9732.047,27.249793,58.433297,ok
220.0,7797.703,27.247009,58.455228,ok
230.0,6402.006,27.248497,58.471878,ok
240.0,5744.031,27.246986,58.483022,ok
250.0,5381.681,27.245295,58.492284,ok
260.0,5204.925,27.243874,58.500703,ok
270.0,5163.573,27.243007,58.508820,ok
280.0,5261.099,27.242482,58.517011,ok
290.0,5806.255,27.237488,58.526581,ok
300.0,6863.332,27.228731,58.539478,ok
310.0,8280.633,27.221387,58.556405,ok
320.0,10665.446,27.211981,58.581960,ok
330.0,18775.419,27.167108,58.654474,ok
340.0,50173.072,27.029807,58.931632,ok
350.0,52921.918,27.169669,58.977029,ok
